oktato_id,nev,jogositvany_tipus,munkaviszony_kezdete,telefonszam,email
1,Vörösné Horváth Edit Klára,A,2010-10-02,06-2/443 6370,znagy@tith.biz
2,Mészáros Tóth Imre,C,2024-04-08,06-68/513 1708,ildiki30@pal.hu
3,Dr. Fábiánné Rácz Margit,A,2013-06-21,06-6/611 0322,bela64@molnar.biz
4,Dr. Mezei K. Kitti,D,2020-08-22,06-2/899 1738,snagy@kiss.com.hu
5,Dr. Sárköziné Balázs Júlia,C,2013-09-30,(06)05/091-7562,borbelyilona@meszaros.net
6,Jakabné Balogh Magdolna Ilona,A,2021-01-13,06-87/559 6457,tamaslukacs@orsis.biz
7,E. Tóth Gergő,A,2013-03-19,06-6/283 8278,farkascsaba@szabi.net
8,Dr. Horváthné Török Etelka Alexandra,D,2015-12-08,70/105-5538,llukacs@gal.net
9,Orosz Gyöngyi Julianna,C,2024-08-15,+36 52 458-4153,kovacszoltan@simon.info
10,Balogh Váradi Éva,C,2014-04-06,(67)/161-5861,tibororsis@tith.info
